seed,macro_f1,test_molecules,fold0,fold1,fold2,fold3,fold4
0,0.8010035010039381,336,0.8011605900308352,0.7962993398507514,0.804540714131577,0.7962973189039155,0.8067195421026107
1,0.8241321366797214,336,0.8240245500677362,0.8288038913853628,0.8215373902757908,0.8229669404150288,0.8233279112546888
2,0.8169668110801096,336,0.8157724982693433,0.8163839808199091,0.8179024538953545,0.8121946640503752,0.8225804583655651
3,0.800701558366679,336,0.7994525509465211,0.7994734864792112,0.8011862795557414,0.8001588266202858,0.8032366482316352
4,0.8289162050007279,336,0.837547466949519,0.8257264573879067,0.8266290801189498,0.8281914699207655,0.8264865506264986
5,0.8096356786134817,336,0.8078751547299767,0.8128888352651091,0.8146549838442516,0.80642131068077,0.8063381085473011
6,0.8170784763573529,336,0.8172382643640868,0.8209346025630386,0.8174874872584783,0.810731095071247,0.8190009325299138
7,0.802200269396417,336,0.8010195235470698,0.8010425484761183,0.8001338011667811,0.8066272487169028,0.8021782250752133
8,0.8155632779375163,336,0.8189491418364818,0.814299904452055,0.8142087668751794,0.8160728784807239,0.8142856980431418
9,0.8017304191417012,336,0.8035023829273931,0.8045604079486847,0.8036378491317442,0.7973719496268288,0.7995795060738546
