seed,n_test_conformers,monodi,monodi__Co+2,monodi__Ni+2,monodi__Cu+2,monodi__Zn+2,trimer_whole,trimer_whole__Co+2,trimer_whole__Ni+2,trimer_whole__Cu+2,trimer_whole__Zn+2,trimer_part,trimer_part__Co+2,trimer_part__Ni+2,trimer_part__Cu+2,trimer_part__Zn+2
0,3324,0.8018429941670264,0.7483532465061642,0.714917451348452,0.8775119292365355,0.8665893495769545,0.6298460411844705,0.6407795180551596,0.4982614170761428,0.6824105594596939,0.697932670146886,0.6327688306441973,0.6332917267459834,0.5231330209539371,0.6681386029429527,0.7065119719339161
1,3343,0.8232807545076766,0.7750449661412987,0.7375882036205489,0.8882959603523352,0.8921938879165234,0.6346740078979476,0.6401151384454915,0.5168938414489623,0.6835167294193156,0.6981703222780209,0.6310970476256708,0.6231875433534478,0.5040271163838159,0.6934958511824052,0.703677679583014
2,3333,0.8211599803495581,0.793135693772921,0.7316278719677214,0.8781640835947808,0.8817122720628092,0.6323903333509073,0.6284063193729423,0.5211542748776129,0.6834938286715105,0.6965069104815634,0.6379802485250172,0.6452453541400891,0.5276259765276439,0.6857819189099175,0.6932677445224186
3,3338,0.8089544730458146,0.7746448435491213,0.708461402349292,0.8856595878162068,0.8670520584686381,0.6309990073668238,0.6158050244926045,0.5291979742138299,0.6796878969544048,0.6993051338064559,0.6180887906980671,0.6133756585291332,0.5046754918707983,0.6535536258436621,0.7007503865486749
4,3320,0.8302587946379132,0.7932642759386999,0.7303622959925091,0.9073999813884674,0.8900086252319761,0.6319853003008329,0.6246075182103727,0.511697524888472,0.6860707857897458,0.7055653723147409,0.6297080310472508,0.6131916004575538,0.5172827665972312,0.6819551834857578,0.7064025736484606
5,3326,0.8089379479061801,0.7629590454036957,0.6895160678650617,0.8936216401543632,0.8896550382016001,0.6322768557099118,0.6191300236660997,0.5180314666779282,0.6899883787676278,0.7019575537279918,0.6306284500870319,0.6098061486841196,0.535484056000835,0.6933322945332885,0.6838913011298848
6,3339,0.8182827395687721,0.7605638963808223,0.720001104249784,0.8875512160466054,0.9050147415978769,0.6329792247767952,0.6358136046462963,0.5233527184240031,0.680559791384425,0.6921907846524565,0.6342308203381678,0.6321885557435678,0.5359771881076965,0.6815462626541706,0.6872112748472363
7,3343,0.8073748408613467,0.7518636027266415,0.6984330928755936,0.8841408992427086,0.8950617686004432,0.6341094056851407,0.6153969463309791,0.5261858214110899,0.686119094780473,0.708735760218021,0.6343641195231994,0.6116649799265115,0.5201612244013901,0.6904355560542574,0.7151947177106383
8,3321,0.8164846127289204,0.786375858444903,0.7305564767126579,0.8916777888528941,0.8573283269052261,0.6346148554579605,0.6246308796466895,0.5252775230904281,0.6852551714254365,0.7032958476692874,0.6352895965632004,0.613078878079244,0.5288408384440327,0.7027864945110947,0.6964521752184302
9,3331,0.8044243232947454,0.7544545510816035,0.7316292920097487,0.8931225753562041,0.8384908747314256,0.6333653672617695,0.6368222672581123,0.5145890589975302,0.6819270632254083,0.7001230795660269,0.6322275713094335,0.6531469804080696,0.5193579551746667,0.6807229493097633,0.6756824003452342
