seed,test_seed,anchor_seed,arm,anchor_type,added_type,n_added,n_conformers_added,n_train_conformers,accuracy,macro_f1,f1_Co+2,f1_Ni+2,f1_Cu+2,f1_Zn+2
0,20250722,1001,A1_short_add_trimer,short,trimer,0,0,7931,0.6368670886075949,0.6356495691811515,0.627893175074184,0.5456419316843345,0.6815720038883488,0.6874911660777385
0,20250722,1001,A1_short_add_trimer,short,trimer,100,989,8920,0.6572928653624857,0.6552565303163561,0.6511024643320363,0.5457555689343769,0.6953405017921147,0.7288275862068966
0,20250722,1001,A1_short_add_trimer,short,trimer,200,1988,9919,0.6682249712313003,0.6651755566903448,0.669179229480737,0.5464396284829721,0.7043325526932084,0.7407508161044614
0,20250722,1001,A1_short_add_trimer,short,trimer,350,3479,11410,0.6798762945914845,0.6768596568490326,0.6838245468382455,0.5580745341614907,0.7084539664157499,0.7570855799806443
0,20250722,1001,A1_short_add_trimer,short,trimer,500,4977,12908,0.6823935558112774,0.6792301317369114,0.6849842011265284,0.5611015490533563,0.7120993358359804,0.7587354409317804
0,20250722,1001,A1_short_add_trimer,short,trimer,700,6969,14900,0.6914556962025317,0.6889234995861324,0.6965342349957735,0.579206398031375,0.7195540308747856,0.7603993344425957
0,20250722,1001,A1_short_add_trimer,short,trimer,900,8967,16898,0.6954113924050633,0.6934045217397964,0.7008377112026125,0.587680608365019,0.72081505589359,0.7642847114979643
0,20250722,1001,A1_short_add_trimer,short,trimer,1200,11959,19890,0.7021001150747986,0.7006109163766083,0.7041933191186922,0.6005725478378786,0.7261720399831058,0.7715057585667567
0,20250722,1001,A1_short_add_trimer,short,trimer,1600,15938,23869,0.7043296892980437,0.7035965361412543,0.7037460680583357,0.6057294743059657,0.7255813953488373,0.7793292068518785
0,20250722,1001,A1_short_add_trimer,short,trimer,2200,21912,29843,0.7091484464902187,0.7086357919626247,0.7028964726125609,0.6063454759106933,0.7376957494407159,0.7876054698865289
0,20250722,1001,A1_short_add_trimer,short,trimer,3000,29871,37802,0.7188578826237054,0.7187347049209308,0.7103606182026331,0.6204687727471248,0.7462728551336146,0.7978365736003509
0,20250722,1001,A1_short_add_trimer,short,trimer,4000,39824,47755,0.7263377445339471,0.7265927110288659,0.71285999429712,0.630891950688905,0.7532503844540752,0.8093685146753632
0,20250722,1001,A1_short_add_trimer,short,trimer,4788,47659,55590,0.7276323360184119,0.7273409650520346,0.7082160945413618,0.6217372069016369,0.7632578421718947,0.8161527165932452
0,20250722,1001,A2_trimer_add_trimer,trimer,trimer,0,0,7957,0.6736910241657077,0.6747372773650869,0.6633858267716536,0.570974270020237,0.7005509641873279,0.7640380484811292
0,20250722,1001,A2_trimer_add_trimer,trimer,trimer,100,989,8946,0.6790851553509781,0.6801167977215927,0.6701074068907797,0.5734590282813633,0.70568700705687,0.7712137486573577
0,20250722,1001,A2_trimer_add_trimer,trimer,trimer,200,1988,9945,0.6810270425776754,0.6820955583948118,0.6710853355426678,0.5687245195107746,0.7091922005571031,0.7793801779687021
0,20250722,1001,A2_trimer_add_trimer,trimer,trimer,350,3479,11436,0.6892261219792866,0.6899446846627442,0.6824566235196915,0.575197889182058,0.7173489278752436,0.7847752980739835
0,20250722,1001,A2_trimer_add_trimer,trimer,trimer,500,4977,12934,0.6902330264672036,0.6909113112943933,0.6818244835713295,0.5803806734992679,0.718048239534239,0.783391848572737
0,20250722,1001,A2_trimer_add_trimer,trimer,trimer,700,6969,14926,0.6928941311852704,0.6934139320879072,0.6818055168570633,0.5842630651790958,0.7230938618221855,0.7844932844932845
0,20250722,1001,A2_trimer_add_trimer,trimer,trimer,900,8967,16924,0.694692174913694,0.6951300398229278,0.6869504535938591,0.5913631022326674,0.7214285714285714,0.7807780320366132
0,20250722,1001,A2_trimer_add_trimer,trimer,trimer,1200,11959,19916,0.7011651323360184,0.7018968602075417,0.693843126229969,0.601628380343123,0.7261724659606656,0.7859434682964095
0,20250722,1001,A2_trimer_add_trimer,trimer,trimer,1600,15938,23895,0.7054804372842347,0.7065093782582335,0.689023531069466,0.608156794927223,0.7346542884855203,0.7942028985507247
0,20250722,1001,A2_trimer_add_trimer,trimer,trimer,2200,21912,29869,0.7069907940161104,0.7080072813464573,0.6902104817064557,0.6078431372549019,0.7380165289256199,0.795958977498852
0,20250722,1001,A2_trimer_add_trimer,trimer,trimer,3000,29871,37828,0.7219505178365938,0.7230936117506451,0.7013536379018612,0.6243888409548461,0.7539122005262429,0.81271976761963
0,20250722,1001,A2_trimer_add_trimer,trimer,trimer,4000,39824,47781,0.722885500575374,0.7241944125674691,0.7003528581510233,0.6229414291851639,0.7573192729290967,0.8161640900045921
0,20250722,1001,A2_trimer_add_trimer,trimer,trimer,4788,47659,55616,0.7286392405063291,0.7291318758724725,0.7068128208686,0.6220460883604872,0.7628115373844861,0.8248570568763166
