arm,n_added,metric,mean,ci95
A1_short_add_trimer,0,macro_f1,0.6282848614875254,0.005037734456763674
A1_short_add_trimer,0,accuracy,0.6310621799661029,0.005876901745802639
A1_short_add_trimer,100,macro_f1,0.6511017300167465,0.005369721830985779
A1_short_add_trimer,100,accuracy,0.6552580945769639,0.005995699572100027
A1_short_add_trimer,200,macro_f1,0.6601756497655955,0.005217147988014711
A1_short_add_trimer,200,accuracy,0.6645933674313652,0.005866928055462222
A1_short_add_trimer,350,macro_f1,0.6704815046505509,0.005713214686598919
A1_short_add_trimer,350,accuracy,0.6745462135314454,0.006151266149686063
A1_short_add_trimer,500,macro_f1,0.6775490677545664,0.005954517879669098
A1_short_add_trimer,500,accuracy,0.6812406535719734,0.006433965406834838
A1_short_add_trimer,700,macro_f1,0.6838222949325579,0.0062631544932044035
A1_short_add_trimer,700,accuracy,0.6872669963147555,0.006605115046526254
A1_short_add_trimer,900,macro_f1,0.6886735757556582,0.005312711337938882
A1_short_add_trimer,900,accuracy,0.69183951422316,0.005830389875327335
A1_short_add_trimer,1200,macro_f1,0.6934362546824678,0.0056451489307769755
A1_short_add_trimer,1200,accuracy,0.6963758226825971,0.0060931139985611294
A1_short_add_trimer,1600,macro_f1,0.6993237217268667,0.005024662895044888
A1_short_add_trimer,1600,accuracy,0.7018261788652765,0.00552027583827167
A1_short_add_trimer,2200,macro_f1,0.7053437706297532,0.0038809894109281553
A1_short_add_trimer,2200,accuracy,0.707413750070099,0.004263352267461443
A1_short_add_trimer,3000,macro_f1,0.710339698963016,0.0051212245930361815
A1_short_add_trimer,3000,accuracy,0.7122404196309847,0.005403663070092864
A1_short_add_trimer,4000,macro_f1,0.716701023576695,0.0048387265227219
A1_short_add_trimer,4000,accuracy,0.718141749775622,0.005116904636343457
A1_short_add_trimer,4788,macro_f1,0.7201515970837343,0.004272363048505367
A1_short_add_trimer,4788,accuracy,0.7213623984415548,0.004463761535833768
A2_trimer_add_trimer,0,macro_f1,0.6754018899629279,0.004332430122993268
A2_trimer_add_trimer,0,accuracy,0.6776759664615221,0.004758353030174795
A2_trimer_add_trimer,100,macro_f1,0.678375639931604,0.004976425624965606
A2_trimer_add_trimer,100,accuracy,0.6804317316128032,0.004956665821679562
A2_trimer_add_trimer,200,macro_f1,0.6809972940532447,0.004263136624099156
A2_trimer_add_trimer,200,accuracy,0.6830897935515747,0.004482656319087231
A2_trimer_add_trimer,350,macro_f1,0.6842967530512575,0.004574050987576138
A2_trimer_add_trimer,350,accuracy,0.6861466025220048,0.004805747785363549
A2_trimer_add_trimer,500,macro_f1,0.6861305346900451,0.0034393900987239796
A2_trimer_add_trimer,500,accuracy,0.6878285409568334,0.003474055760844099
A2_trimer_add_trimer,700,macro_f1,0.6909149400809331,0.004008435295798363
A2_trimer_add_trimer,700,accuracy,0.6923790151668845,0.0040564656909621005
A2_trimer_add_trimer,900,macro_f1,0.6930749643957689,0.003160564094573441
A2_trimer_add_trimer,900,accuracy,0.6944066214293643,0.0035026768771657195
A2_trimer_add_trimer,1200,macro_f1,0.6978547990582993,0.004458230738014257
A2_trimer_add_trimer,1200,accuracy,0.6991029001500675,0.004711227891470853
A2_trimer_add_trimer,1600,macro_f1,0.7031928833475156,0.0038640209917653705
A2_trimer_add_trimer,1600,accuracy,0.7043798389046587,0.0043142846679523365
